TERRITORIO#es,TIME_PERIOD#es,FLUJO_ENERGIA#es,FLUJO_ENERGIA_CODE,OBS_VALUE
Agaete,23/03/2021,Total,_T,38.13
Agaete,24/03/2021,Total,_T,37.27
Agaete,25/03/2021,Total,_T,38.86
Agaete,26/03/2021,Total,_T,39.46
Agaete,27/03/2021,Total,_T,40.22
Agaete,28/03/2021,Total,_T,37.87
Agaete,29/03/2021,Total,_T,39.44
Agaete,30/03/2021,Total,_T,39.17
Agaete,31/03/2021,Total,_T,37.7
Agaete,01/04/2021,Total,_T,40.55
Agaete,02/04/2021,Total,_T,40.33
Agaete,03/04/2021,Total,_T,40.17
Agaete,04/04/2021,Total,_T,39.09
Agaete,05/04/2021,Total,_T,37.91
Agaete,06/04/2021,Total,_T,38.69
Agaete,07/04/2021,Total,_T,37.72
Agaete,08/04/2021,Total,_T,37.76
Agaete,09/04/2021,Total,_T,38.99
Agaete,10/04/2021,Total,_T,39.77
Agaete,11/04/2021,Total,_T,38.68
Agaete,12/04/2021,Total,_T,38.35
Agaete,13/04/2021,Total,_T,36.9
Agaete,14/04/2021,Total,_T,37.07
Agaete,15/04/2021,Total,_T,37.58
Agaete,16/04/2021,Total,_T,38.18
Agaete,17/04/2021,Total,_T,38.65
Agaete,18/04/2021,Total,_T,38.15
Agaete,19/04/2021,Total,_T,38.68
Agaete,20/04/2021,Total,_T,37.92
Agaete,21/04/2021,Total,_T,37.43
Agaete,22/04/2021,Total,_T,38.02
Agaete,23/04/2021,Total,_T,37.61
Agaete,24/04/2021,Total,_T,37.8
Agaete,25/04/2021,Total,_T,37.85
Agaete,26/04/2021,Total,_T,38.01
Agaete,27/04/2021,Total,_T,38.65
Agaete,28/04/2021,Total,_T,38.87
Agaete,29/04/2021,Total,_T,39.16
Agaete,30/04/2021,Total,_T,49.06
Agaete,01/05/2021,Total,_T,37.04
Agaete,02/05/2021,Total,_T,36.69
Agaete,03/05/2021,Total,_T,36.84
Agaete,04/05/2021,Total,_T,39.9
Agaete,05/05/2021,Total,_T,38.56
Agaete,06/05/2021,Total,_T,37.52
Agaete,07/05/2021,Total,_T,37.78
Agaete,08/05/2021,Total,_T,37.85
Agaete,09/05/2021,Total,_T,37.03
Agaete,10/05/2021,Total,_T,36.64
Agaete,11/05/2021,Total,_T,36.51
Agaete,12/05/2021,Total,_T,36.86
Agaete,13/05/2021,Total,_T,37.45
Agaete,14/05/2021,Total,_T,38.35
Agaete,15/05/2021,Total,_T,38.81
Agaete,16/05/2021,Total,_T,38.19
Agaete,17/05/2021,Total,_T,38.1
Agaete,18/05/2021,Total,_T,39.99
Agaete,19/05/2021,Total,_T,38.66
Agaete,20/05/2021,Total,_T,37.33
Agaete,21/05/2021,Total,_T,38.32
Agaete,22/05/2021,Total,_T,39.21
Agaete,23/05/2021,Total,_T,38.63
Agaete,24/05/2021,Total,_T,37.39
Agaete,25/05/2021,Total,_T,37.63
Agaete,26/05/2021,Total,_T,37.42
Agaete,27/05/2021,Total,_T,37.72
Agaete,28/05/2021,Total,_T,37.52
Agaete,29/05/2021,Total,_T,38.61
Agaete,30/05/2021,Total,_T,38.2
Agaete,31/05/2021,Total,_T,37.94
Agaete,01/06/2021,Total,_T,27.67
Agaete,02/06/2021,Total,_T,36.1
Agaete,03/06/2021,Total,_T,37.6
Agaete,04/06/2021,Total,_T,37.82
Agaete,05/06/2021,Total,_T,38.93
Agaete,06/06/2021,Total,_T,37.7
Agaete,07/06/2021,Total,_T,38.6
Agaete,08/06/2021,Total,_T,38.2
Agaete,09/06/2021,Total,_T,38.6
Agaete,10/06/2021,Total,_T,38.23
Agaete,11/06/2021,Total,_T,40.0
Agaete,12/06/2021,Total,_T,42.18
Agaete,13/06/2021,Total,_T,39.19
Agaete,14/06/2021,Total,_T,38.96
Agaete,15/06/2021,Total,_T,37.57
Agaete,16/06/2021,Total,_T,38.0
Agaete,17/06/2021,Total,_T,38.31
Agaete,18/06/2021,Total,_T,37.44
Agaete,19/06/2021,Total,_T,38.48
Agaete,20/06/2021,Total,_T,37.51
Agaete,21/06/2021,Total,_T,38.51
Agaete,22/06/2021,Total,_T,37.0
Agaete,23/06/2021,Total,_T,37.16
Agaete,24/06/2021,Total,_T,38.44
Agaete,25/06/2021,Total,_T,36.46
Agaete,26/06/2021,Total,_T,38.57
Agaete,27/06/2021,Total,_T,38.35
Agaete,28/06/2021,Total,_T,38.32
Agaete,29/06/2021,Total,_T,36.41
Agaete,30/06/2021,Total,_T,36.58
Agaete,01/07/2021,Total,_T,38.2
Agaete,02/07/2021,Total,_T,37.72
Agaete,03/07/2021,Total,_T,40.5
Agaete,04/07/2021,Total,_T,39.78
Agaete,05/07/2021,Total,_T,39.32
Agaete,06/07/2021,Total,_T,38.56
Agaete,07/07/2021,Total,_T,38.62
Agaete,08/07/2021,Total,_T,39.03
Agaete,09/07/2021,Total,_T,38.94
Agaete,10/07/2021,Total,_T,40.13
Agaete,11/07/2021,Total,_T,40.71
Agaete,12/07/2021,Total,_T,41.59
Agaete,13/07/2021,Total,_T,41.48
Agaete,14/07/2021,Total,_T,39.76
Agaete,15/07/2021,Total,_T,40.41
Agaete,16/07/2021,Total,_T,39.19
Agaete,17/07/2021,Total,_T,40.62
Agaete,18/07/2021,Total,_T,40.22
Agaete,19/07/2021,Total,_T,40.51
Agaete,20/07/2021,Total,_T,38.39
Agaete,21/07/2021,Total,_T,38.98
Agaete,22/07/2021,Total,_T,38.26
Agaete,23/07/2021,Total,_T,39.25
Agaete,24/07/2021,Total,_T,41.05
Agaete,25/07/2021,Total,_T,40.6
Agaete,26/07/2021,Total,_T,39.06
Agaete,27/07/2021,Total,_T,39.69
Agaete,28/07/2021,Total,_T,39.34
Agaete,29/07/2021,Total,_T,38.29
Agaete,30/07/2021,Total,_T,39.38
Agaete,31/07/2021,Total,_T,40.27
Agaete,01/08/2021,Total,_T,39.48
Agaete,02/08/2021,Total,_T,39.1
Agaete,03/08/2021,Total,_T,38.31
Agaete,04/08/2021,Total,_T,39.31
Agaete,05/08/2021,Total,_T,37.47
Agaete,06/08/2021,Total,_T,39.36
Agaete,07/08/2021,Total,_T,40.9
Agaete,08/08/2021,Total,_T,40.2
Agaete,09/08/2021,Total,_T,39.54
Agaete,10/08/2021,Total,_T,39.38
Agaete,11/08/2021,Total,_T,39.44
Agaete,12/08/2021,Total,_T,38.94
Agaete,13/08/2021,Total,_T,39.64
Agaete,14/08/2021,Total,_T,42.29
Agaete,15/08/2021,Total,_T,41.86
Agaete,16/08/2021,Total,_T,42.71
Agaete,17/08/2021,Total,_T,46.41
Agaete,18/08/2021,Total,_T,46.93
Agaete,19/08/2021,Total,_T,43.76
Agaete,20/08/2021,Total,_T,43.94
Agaete,21/08/2021,Total,_T,43.77
Agaete,22/08/2021,Total,_T,41.34
Agaete,23/08/2021,Total,_T,39.66
Agaete,24/08/2021,Total,_T,40.83
Agaete,25/08/2021,Total,_T,40.5
Agaete,26/08/2021,Total,_T,39.32
Agaete,01/01/2020,Total,_T,38.23
Agaete,02/01/2020,Total,_T,41.39
Agaete,03/01/2020,Total,_T,41.4
Agaete,04/01/2020,Total,_T,41.13
Agaete,05/01/2020,Total,_T,40.46
Agaete,06/01/2020,Total,_T,38.28
Agaete,07/01/2020,Total,_T,43.32
Agaete,08/01/2020,Total,_T,42.83
Agaete,09/01/2020,Total,_T,41.82
Agaete,10/01/2020,Total,_T,40.58
Agaete,11/01/2020,Total,_T,41.89
Agaete,12/01/2020,Total,_T,40.92
Agaete,13/01/2020,Total,_T,41.96
Agaete,14/01/2020,Total,_T,41.25
Agaete,15/01/2020,Total,_T,40.61
Agaete,16/01/2020,Total,_T,39.98
Agaete,17/01/2020,Total,_T,40.28
Agaete,18/01/2020,Total,_T,41.0
Agaete,19/01/2020,Total,_T,40.71
Agaete,20/01/2020,Total,_T,42.11
Agaete,21/01/2020,Total,_T,41.63
Agaete,22/01/2020,Total,_T,40.64
Agaete,23/01/2020,Total,_T,40.65
Agaete,24/01/2020,Total,_T,40.54
Agaete,25/01/2020,Total,_T,41.66
Agaete,26/01/2020,Total,_T,40.78
Agaete,27/01/2020,Total,_T,41.53
Agaete,28/01/2020,Total,_T,40.18
Agaete,29/01/2020,Total,_T,39.97
Agaete,30/01/2020,Total,_T,39.56
Agaete,31/01/2020,Total,_T,39.13
Agaete,01/02/2020,Total,_T,41.57
Agaete,02/02/2020,Total,_T,40.8
Agaete,03/02/2020,Total,_T,41.17
Agaete,04/02/2020,Total,_T,40.64
Agaete,05/02/2020,Total,_T,39.94
Agaete,06/02/2020,Total,_T,39.28
Agaete,07/02/2020,Total,_T,40.09
Agaete,08/02/2020,Total,_T,41.02
Agaete,09/02/2020,Total,_T,40.06
Agaete,10/02/2020,Total,_T,41.39
Agaete,11/02/2020,Total,_T,41.05
Agaete,12/02/2020,Total,_T,40.12
Agaete,13/02/2020,Total,_T,40.06
Agaete,14/02/2020,Total,_T,40.66
Agaete,15/02/2020,Total,_T,41.0
Agaete,16/02/2020,Total,_T,40.71
Agaete,17/02/2020,Total,_T,42.11
Agaete,18/02/2020,Total,_T,41.68
Agaete,19/02/2020,Total,_T,40.16
Agaete,20/02/2020,Total,_T,39.68
Agaete,21/02/2020,Total,_T,39.5
Agaete,22/02/2020,Total,_T,40.1
Agaete,23/02/2020,Total,_T,39.06
Agaete,24/02/2020,Total,_T,42.79
Agaete,25/02/2020,Total,_T,43.39
Agaete,26/02/2020,Total,_T,40.92
Agaete,27/02/2020,Total,_T,41.02
Agaete,28/02/2020,Total,_T,40.6
Agaete,29/02/2020,Total,_T,39.77
Agaete,01/03/2020,Total,_T,40.46
Agaete,02/03/2020,Total,_T,41.39
Agaete,03/03/2020,Total,_T,40.53
Agaete,04/03/2020,Total,_T,41.11
Agaete,05/03/2020,Total,_T,41.77
Agaete,06/03/2020,Total,_T,41.81
Agaete,07/03/2020,Total,_T,41.61
Agaete,08/03/2020,Total,_T,40.61
Agaete,09/03/2020,Total,_T,42.75
Agaete,10/03/2020,Total,_T,41.98
Agaete,11/03/2020,Total,_T,41.6
Agaete,12/03/2020,Total,_T,39.39
Agaete,13/03/2020,Total,_T,40.16
Agaete,14/03/2020,Total,_T,40.18
Agaete,15/03/2020,Total,_T,38.53
Agaete,16/03/2020,Total,_T,39.14
Agaete,17/03/2020,Total,_T,37.03
Agaete,18/03/2020,Total,_T,35.12
Agaete,19/03/2020,Total,_T,34.59
Agaete,20/03/2020,Total,_T,33.57
Agaete,21/03/2020,Total,_T,34.11
Agaete,22/03/2020,Total,_T,32.76
Agaete,23/03/2020,Total,_T,35.31
Agaete,24/03/2020,Total,_T,34.12
Agaete,25/03/2020,Total,_T,32.67
Agaete,26/03/2020,Total,_T,33.49
Agaete,27/03/2020,Total,_T,33.13
Agaete,28/03/2020,Total,_T,33.92
Agaete,29/03/2020,Total,_T,30.47
Agaete,30/03/2020,Total,_T,34.35
Agaete,31/03/2020,Total,_T,32.99
Agaete,01/04/2020,Total,_T,30.43
Agaete,02/04/2020,Total,_T,31.15
Agaete,03/04/2020,Total,_T,31.47
Agaete,04/04/2020,Total,_T,31.13
Agaete,05/04/2020,Total,_T,33.39
Agaete,06/04/2020,Total,_T,35.35
Agaete,07/04/2020,Total,_T,35.51
Agaete,08/04/2020,Total,_T,34.04
Agaete,09/04/2020,Total,_T,33.79
Agaete,10/04/2020,Total,_T,32.3
Agaete,11/04/2020,Total,_T,34.25
Agaete,12/04/2020,Total,_T,33.14
Agaete,13/04/2020,Total,_T,35.01
Agaete,14/04/2020,Total,_T,34.92
Agaete,15/04/2020,Total,_T,34.3
Agaete,16/04/2020,Total,_T,34.34
Agaete,17/04/2020,Total,_T,34.43
Agaete,18/04/2020,Total,_T,34.29
Agaete,19/04/2020,Total,_T,33.21
Agaete,20/04/2020,Total,_T,35.57
Agaete,27/08/2021,Total,_T,39.85
Agaete,28/08/2021,Total,_T,41.0
Agaete,29/08/2021,Total,_T,39.33
Agaete,30/08/2021,Total,_T,39.67
Agaete,31/08/2021,Total,_T,37.98
Agaete,01/09/2021,Total,_T,38.86
Agaete,02/09/2021,Total,_T,39.67
Agaete,03/09/2021,Total,_T,40.98
Agaete,04/09/2021,Total,_T,42.81
Agaete,05/09/2021,Total,_T,42.06
Agaete,06/09/2021,Total,_T,40.88
Agaete,07/09/2021,Total,_T,41.2
Agaete,08/09/2021,Total,_T,40.1
Agaete,09/09/2021,Total,_T,41.08
Agaete,10/09/2021,Total,_T,40.77
Agaete,11/09/2021,Total,_T,44.22
Agaete,12/09/2021,Total,_T,43.24
Agaete,13/09/2021,Total,_T,41.46
Agaete,14/09/2021,Total,_T,41.05
Agaete,15/09/2021,Total,_T,39.19
Agaete,16/09/2021,Total,_T,39.18
Agaete,17/09/2021,Total,_T,39.81
Agaete,18/09/2021,Total,_T,41.78
Agaete,19/09/2021,Total,_T,41.34
Agaete,20/09/2021,Total,_T,40.2
Agaete,21/09/2021,Total,_T,39.8
Agaete,22/09/2021,Total,_T,39.34
Agaete,23/09/2021,Total,_T,38.62
Agaete,24/09/2021,Total,_T,38.94
Agaete,25/09/2021,Total,_T,40.8
Agaete,26/09/2021,Total,_T,41.84
Agaete,27/09/2021,Total,_T,39.26
Agaete,28/09/2021,Total,_T,40.74
Agaete,29/09/2021,Total,_T,39.94
Agaete,30/09/2021,Total,_T,37.15
Agaete,01/10/2021,Total,_T,39.81
Agaete,02/10/2021,Total,_T,42.81
Agaete,03/10/2021,Total,_T,41.37
Agaete,04/10/2021,Total,_T,40.03
Agaete,20/11/2021,Total,_T,39.88
Agaete,21/11/2021,Total,_T,39.47
Agaete,22/11/2021,Total,_T,39.88
Agaete,23/11/2021,Total,_T,38.98
Agaete,24/11/2021,Total,_T,37.79
Agaete,25/11/2021,Total,_T,37.59
Agaete,26/11/2021,Total,_T,35.81
Agaete,27/11/2021,Total,_T,39.82
Agaete,28/11/2021,Total,_T,40.26
Agaete,29/11/2021,Total,_T,39.32
Agaete,30/11/2021,Total,_T,35.31
Agaete,01/12/2021,Total,_T,36.99
Agaete,02/12/2021,Total,_T,37.34
Agaete,03/12/2021,Total,_T,38.83
Agaete,04/12/2021,Total,_T,38.66
Agaete,05/12/2021,Total,_T,38.97
Agaete,06/12/2021,Total,_T,38.53
Agaete,07/12/2021,Total,_T,39.46
Agaete,08/12/2021,Total,_T,37.75
Agaete,09/12/2021,Total,_T,36.89
Agaete,10/12/2021,Total,_T,37.64
Agaete,11/12/2021,Total,_T,38.79
Agaete,12/12/2021,Total,_T,38.76
Agaete,13/12/2021,Total,_T,38.69
Agaete,14/12/2021,Total,_T,36.53
Agaete,15/12/2021,Total,_T,36.39
Agaete,16/12/2021,Total,_T,36.41
Agaete,17/12/2021,Total,_T,37.38
Agaete,18/12/2021,Total,_T,37.98
Agaete,19/12/2021,Total,_T,38.27
Agaete,20/12/2021,Total,_T,37.14
Agaete,21/12/2021,Total,_T,36.26
Agaete,22/12/2021,Total,_T,35.64
Agaete,23/12/2021,Total,_T,36.43
Agaete,24/12/2021,Total,_T,38.72
Agaete,25/12/2021,Total,_T,36.63
Agaete,26/12/2021,Total,_T,37.93
Agaete,27/12/2021,Total,_T,38.01
Agaete,28/12/2021,Total,_T,36.78
Agaete,29/12/2021,Total,_T,37.46
Agaete,30/12/2021,Total,_T,36.7
Agaete,31/12/2021,Total,_T,38.29
Agaete,01/01/2022,Total,_T,37.23
